seller_id,seller_state,orders,revenue
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1124,226987.93
53243585a1d6dc2643021fd1853d8905,BA,348,217940.44
4a3ca9315b744ce9f8e9374361493884,SP,1772,196882.12
fa1c13f2614d7b5c4749cbc52fecda94,SP,578,190917.14
7c67e1448b00f6e969d365cea6b010ab,SP,973,186570.05
7e93a43ef30c4f03f38b393420bc753a,SP,319,165981.49
da8622b14eb17ae2831f4ac5b9dab84a,SP,1311,159816.87
7a67c85e85bb2ce8582c35f2203ad736,SP,1145,139658.69
1025f0e2d44d7041d6cf58b6550e0bfa,SP,910,138208.56
955fee9216a65b617aa5c0531780ce60,SP,1261,131836.71
46dc3b2cc0980fb8ec44634e21d2718e,RJ,503,122811.38
6560211a19b47992c3666cc44a7e94c0,SP,1819,120702.83
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,722,112461.50
7d13fca15225358621be4086e1eb0964,SP,558,112436.18
5dceca129747e92ff8ef7a997dc4f8ca,SP,322,111126.73
1f50f920176fa81dab994f9023523100,SP,1399,106655.71
cc419e0650a3c5ba77189a1882b7556a,SP,1651,101090.96
a1043bafd471dff536d0c462352beb48,MG,702,99309.23
3d871de0142ce09b7081e2b9d1733cb1,SP,1064,93407.40
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,165,79144.90
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,184,72926.72
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,218,68070.00
fe2032dab1a61af8794248c8196565c9,SP,293,65689.71
8581055ce74af1daba164fdbd55a40de,SP,380,64011.22
cca3071e3e9bb7d12640c9fbe2301306,SP,699,63035.16
04308b1ee57b6625f47df1d56f00eedf,SC,92,58991.80
522620dcb18a6b31cd7bdf73665113a9,PR,172,56690.49
de722cd6dad950a92b7d4f82673f8833,PE,337,55126.30
37be5a7c751166fbc5f8ccba4119e043,SP,269,54735.55
17e34d8224d27a541263c4c64b11a56b,SP,247,54440.28
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,325,54435.66
25c5c91f63607446a97b143d2d535d31,MG,156,54208.78
218d46b86c1881d022bce9c68a7d4b15,SP,382,53710.30
ceaec5548eefc6e23e6607c5435102e7,SP,198,51478.18
f5a590cf36251cf1162ea35bef76fe84,SP,113,51232.78
e882b2a25a10b9c057cc49695f222c19,RJ,57,51057.54
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,30,50628.90
f8db351d8c4c4c22c6835c19a46f01b0,SP,659,50082.60
b2ba3715d723d245138f291a6fe42594,SP,324,49302.18
17f51e7198701186712e53a39c564617,SP,56,48019.00
8160255418d5aaa7dbdc9f4c64ebda44,SP,380,46368.39
966cb4760537b1404caedd472cc610a5,SP,67,45928.26
77530e9772f57a62c906e1c21538ab82,PR,312,45676.60
4e922959ae960d389249c378d1c939f5,SP,412,45338.42
850f4f8af5ea87287ac68de36e29107f,SP,186,45285.37
c826c40d7b19f62a09e2d7c5e7295ee2,SP,346,44653.04
b33e7c55446eabf8fe1a42d037ac7d6d,SP,149,44215.17
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,44212.50
eeb6de78f79159600292e314a77cbd18,SC,82,43510.84
c3cfdc648177fdbbbb35635a37472c53,PR,278,43048.18
